duplicate,dist,address.x,address.y,,,geometry.x,,geometry.y,
n,0.001776608955,smoke rings smoke shop,bali hai,811 Ninth Street Suite 170,"758 NINTH ST, DURHAM",c(-78.9222103,36.0114613),c(-78.921834,36.009725)
n,0.002527811108,joy mart,bull market 112,2108 Avondale Drive,2109 NORTH ROXBORO ROAD,c(-78.888622,36.0163),c(-78.890287,36.018202)
n,0.0003018209072,tobacco & gift,wal mart supercenter 1614,1525 Glenn School Road,1517 Glenn School Rd,c(-78.8435155,36.0283299),c(-78.843387,36.028603)
n,0.004767895343,harris teeter 172,only burger,3710 Shannon Road Suite 118,1817 MARTIN LUTHER KING JR PARKWAY,c(-78.956087,35.956193),c(-78.959212,35.959794)
n,0.002998251657,family fare,roots bistro and bar,4810 Hope Valley Road Suite 101,4830 Hope Valley Rd,c(-78.95784,35.92188),c(-78.960348,35.920237)
n,0.002356606246,tortilleria miguelena,j c ace,2107 Allendown Drive Suite 101A,4739 NCHWY 55,c(-78.89649,35.89891),c(-78.894557,35.900258)
n,0.00409784359,b-smokestack vapes,cruizers 16,4706 Apex Hwy,2223 NC-54,c(-78.8956975,35.9023692),c(-78.891656,35.901692)
n,0.0006522767817,trinity park family fare 432,skewers bar and grill,1013 West Main Street,1016 WEST MAIN STREET,c(-78.91125,36.000904),c(-78.910717,36.00128)
n,0.002011543696,circle k 2706312,orient garden restaurant,"202 West NC Hwy 54, Suite 401",109 WEST NORTH CAROLINA HIGHWAY 54,c(-78.9364352,35.912505),c(-78.93625,35.910502)
n,0.003184098145,tobacco land ii,durham food world,401 East Lakewood Avenue,"908 FAYETTEVILLE STREET, SUITE 104",c(-78.899964,35.987775),c(-78.899939,35.984591)
n,0.0008880045045,food lion 274,pulcinellas italian restaurant,4711 Hope Valley Road Suite 1-E,4711 HOPE VALLEY ROAD,c(-78.956421,35.92092),c(-78.955867,35.921614)
n,0.0006452480143,king d tobacco and vape,joy mart,2109 North Roxboro Road,2206 AVONDALE DRIVE,c(-78.89009,36.01773),c(-78.889546,36.017383)
n,0.002942517536,hunky dory,east campus b p 215,805 Broad Street,718 9TH ST,c(-78.9196063,36.0102294),c(-78.921976,36.008485)
n,0.001656047469,dollar general store 11505,c v s pharmacy 4290,5311 Roxboro Road,5279 N ROXBORO RD STE B,c(-78.9110819,36.0780839),c(-78.911104,36.076428)
n,0.002370272141,harris teeter 224,chubbys tacos,4711 Hope Valley Road Suite 5H,1125 WEST NC HWY 54,c(-78.9573299,35.9207271),c(-78.957646,35.918378)
n,0.002399563646,tortilleria miguelena,cruizers 16,4706 Apex Hwy,4739 NCHWY 55,c(-78.8956975,35.9023692),c(-78.894557,35.900258)
n,0.005101261413,walgreens #16137,big apple food mart,1505 Holloway Street,1812 HOLLOWAY STREET,c(-78.87469,35.994329),c(-78.869998,35.992327)
n,0.0005804360861,walgreens,dollar general store 7729,3427 Hillsborough Road,200 NORTH LASALLE STREET,c(-78.9453988,36.0189211),c(-78.944945,36.019283)
n,0.0006226652391,one hop food mart,luckys mini mart and tobacco,2014 Guess Road,2021 GUESS ROAD,c(-78.91776,36.02268),c(-78.918344,36.022896)
y,6.71E-06,98 tobacco shop,98 tobacco shop,2627 Holloway Street,2627 HOLLOWAY STREET,c(-78.852386,35.989228),c(-78.852389,35.989234)
y,0.0001477193284,harris teeter,harris teeter 254,1501 Horton Road,1501 HORTON ROAD,c(-78.930972,36.056542),c(-78.931022,36.056681)
n,0.003066362829,dollar general,hunky dory,718 9th Street,800 BROAD STREET,c(-78.92199,36.00914),c(-78.919199,36.01041)
y,0.002254022183,family dollar store,dollar general store 3067,3830 Guess Road,3823 GUESS RD STE U,c(-78.928017,36.059644),c(-78.930263,36.059454)
n,0.0007632168761,family dollar #11975,town mart,1432 East Lawson Street,900 Bacon Street,c(-78.88607,35.97395),c(-78.885558,35.973384)
n,0.0005894307508,family fare,colonial village family fare 196,2110 Roxboro Road,2211 ROXBORO ROAD,c(-78.8896819,36.018255),c(-78.890135,36.018632)
n,0.003173413619,don becerra,la movida night club,2202 Avondale Drive,2301 NORTH ROXBORO ROAD,c(-78.88937,36.01688),c(-78.890297,36.019915)
n,0.002623822021,e z mini mart,carolina food mart,1002 North Alston Avenue,702 NORTH ALSTON AVENUE,c(-78.885639,35.994738),c(-78.885798,35.992119)
n,0.002248495052,family dollar #293,bull market 112,2108 Avondale Drive,2110 N Roxboro Road,c(-78.888622,36.0163),c(-78.889663,36.018293)
n,0.001334258776,island tobacco & vape durham,wal mart supercenter 2137,5450 New Hope Commons Drive,5324 NEW HOPE COMMONS BLVD EXT,c(-78.9950388,35.9542922),c(-78.994041,35.955178)
n,0.004502257168,hill's open air market,freeway b p 120,308 South Alston Avenue,712 SOUTH ALSTON AVENUE,c(-78.890137,35.9837289),c(-78.891993,35.979627)
n,0.0008933023005,parkview mini mart,food lion 2593,3022 Fayetteville Street,433 EAST PILOT STREET,c(-78.908401,35.963705),c(-78.907618,35.964135)
n,0.002858694557,slim vape pen llc,wills social bistro and lounge,5400 South Miami Blvd Suite 112,5432 S Miami Blvd # 301,c(-78.8511586,35.8822361),c(-78.852041,35.879517)
n,0.0005770658541,university market,durham co op market,1111 West Chapel Hill Street,1108 WEST CHAPEL HILL STREET,c(-78.916603,35.996435),c(-78.916472,35.996997)
n,0.001759185849,exotic (duke) vapour heights,durham county abc board,3318 Guess Rd,3220 GUESS RD,c(-78.9291288,36.0391931),c(-78.929067,36.037435)
n,0.00041358212,smoke rings smoke shop,metro 8,746 Ninth Street,"758 NINTH ST, DURHAM",c(-78.9220689,36.0093846),c(-78.921834,36.009725)
n,0.005111557615,slim vape pen llc,mez contemporary mexican,5410 Page Road Suite 8,5432 S Miami Blvd # 301,c(-78.84693,35.8795925),c(-78.852041,35.879517)
n,0.001093926871,food lion 420,thai spoon,3808 Guess Road Suite G,3808 GUESS ROAD,c(-78.929,36.05798),c(-78.92792,36.058154)
n,0.004244239626,haven smoke & vape,pad thai,2425 Guess Road,1804 N POINTE DR STE E,c(-78.923611,36.026753),c(-78.920638,36.029782)
n,0.001185307555,family fare / bp,tavern,1900 West Markham Avenue,801 BROAD STREET,c(-78.921121,36.01021),c(-78.919936,36.010237)
n,0.003986008781,kings red and white super market,la isla del mar,315 Foushee Street,305 EAST CLUB BLVD,c(-78.88843,36.01606),c(-78.889565,36.019881)
n,0.0004455442178,dollar general,east campus b p 215,805 Broad Street,800 BROAD STREET,c(-78.9196063,36.0102294),c(-78.919199,36.01041)
n,0.002983083304,island tobacco & vape durham,chipotle mexican grill 1974,3219 Watkins Road,5324 NEW HOPE COMMONS BLVD EXT,c(-78.991716,35.953309),c(-78.994041,35.955178)
n,0.001762057037,smoke for less inc,tienda mi pueblo,1408 Avondale Drive,1401 Avondale Dr,c(-78.884225,36.00479),c(-78.885759,36.005657)
n,0.003470924056,tommys mini mart,tommys mini mart,1701 South Miami Blvd,1803 South Miami Blvd,c(-78.8376428,35.9489556),c(-78.837816,35.945489)
y,5.30E-05,dollar general,dollar general store 9167,4623 Hillsborough Road,4623 HILLSBOROUGH ROAD,c(-78.979553,36.032063),c(-78.979591,36.0321)
y,0.0007602631124,city food mart,town mart,1432 East Lawson Street,1432 E Lawson St,c(-78.88607,35.97395),c(-78.885322,35.973814)
n,0.0005347597591,family fare,pomodoro italian kitchen and pizzeria,1811 Hillandale Road,1815 HILLANDALE ROAD,c(-78.93655,36.02946),c(-78.936258,36.029908)
