"","dist","geometry.x","geometry.y","retailer_name.y","retailer_name.x","address.x","address.y"
"33",0.000212989318984784,c(-78.8878827, 35.9324164),c(-78.88768, 35.932351),"kangaroo express 3780 / exxon","kangaroo express 3780","3321 Apex Hwy 55","3321 APEX HWY"
"34",0.00306534546505757,c(-78.9561251, 35.9672299),c(-78.957666, 35.96458),"haven smokes and e-cigs","sams club 4831","4005 Chapel Hill Blvd","4201 UNIVERSITY DRIVE, SUITE 106"
"35",0.00112976103667717,c(-78.916603, 35.996435),c(-78.915721, 35.997141),"taiba market","durham co op market","1111 West Chapel Hill Street","1008 W Chapel Hill St"
"36",0.00214638561771296,c(-78.9110819, 36.0780839),c(-78.909615, 36.076517),"family fare","c v s pharmacy 4290","5311 Roxboro Road","5292 ROXBORO ROAD"
"37",0.00344886213120127,c(-78.88809, 36.01516),c(-78.884647, 36.014959),"super compare foods","compare foods","2000 Avondale Drive","2000 AVONDALE DRIVE"
"38",0.00514403976655787,c(-78.8853454, 36.0167556),c(-78.890135, 36.018632),"family fare","la fondita restaurant","2000 Avondale Drive Suite D","2211 ROXBORO ROAD"
"39",0.0029110006870499,c(-78.929586, 36.033599),c(-78.928769, 36.036393),"friendly stop shop","hong kong chinese restaurant","3003 Guess Road","3206 Guess Rd"
"40",0.0017766089552688,c(-78.9222103, 36.0114613),c(-78.921834, 36.009725),"smoke rings smoke shop","bali hai","811 Ninth Street Suite 170","758 NINTH ST, DURHAM"
"41",0.00252781110844133,c(-78.888622, 36.0163),c(-78.890287, 36.018202),"joy mart","bull market 112","2108 Avondale Drive","2109 NORTH ROXBORO ROAD"
"42",0.000301820907151425,c(-78.8435155, 36.0283299),c(-78.843387, 36.028603),"tobacco & gift","wal mart supercenter 1614","1525 Glenn School Road","1517 Glenn School Rd"
"43",0.00476789534279565,c(-78.956087, 35.956193),c(-78.959212, 35.959794),"harris teeter 172","only burger","3710 Shannon Road Suite 118","1817 MARTIN LUTHER KING JR PARKWAY"
"44",0.00299825165719842,c(-78.95784, 35.92188),c(-78.960348, 35.920237),"family fare","roots bistro and bar","4810 Hope Valley Road Suite 101","4830 Hope Valley Rd"
"45",0.002356606246282,c(-78.89649, 35.89891),c(-78.894557, 35.900258),"tortilleria miguelena","j c ace","2107 Allendown Drive Suite 101A","4739 NCHWY 55"
"46",0.00409784359023183,c(-78.8956975, 35.9023692),c(-78.891656, 35.901692),"b-smokestack vapes","cruizers 16","4706 Apex Hwy","2223 NC-54"
"47",0.000652276781739881,c(-78.91125, 36.000904),c(-78.910717, 36.00128),"trinity park family fare 432","skewers bar and grill","1013 West Main Street","1016 WEST MAIN STREET"
"48",0.00201154369578849,c(-78.9364352, 35.912505),c(-78.93625, 35.910502),"circle k 2706312","orient garden restaurant","202 West NC Hwy 54, Suite 401","109 WEST NORTH CAROLINA HIGHWAY 54"
"49",0.00318409814546253,c(-78.899964, 35.987775),c(-78.899939, 35.984591),"tobacco land ii","durham food world","401 East Lakewood Avenue","908 FAYETTEVILLE STREET, SUITE 104"
"50",0.000888004504478192,c(-78.956421, 35.92092),c(-78.955867, 35.921614),"food lion 274","pulcinellas italian restaurant","4711 Hope Valley Road Suite 1-E","4711 HOPE VALLEY ROAD"
"51",0.000645248014327892,c(-78.89009, 36.01773),c(-78.889546, 36.017383),"king d tobacco and vape","joy mart","2109 North Roxboro Road","2206 AVONDALE DRIVE"
"52",0.00294251753606274,c(-78.9196063, 36.0102294),c(-78.921976, 36.008485),"hunky dory","east campus b p 215","805 Broad Street","718 9TH ST"
"53",0.00165604746910797,c(-78.9110819, 36.0780839),c(-78.911104, 36.076428),"dollar general store 11505","c v s pharmacy 4290","5311 Roxboro Road","5279 N ROXBORO RD STE B"
"54",0.00237027214051011,c(-78.9573299, 35.9207271),c(-78.957646, 35.918378),"harris teeter 224","chubbys tacos","4711 Hope Valley Road Suite 5H","1125 WEST NC HWY 54"
"55",0.00239956364574617,c(-78.8956975, 35.9023692),c(-78.894557, 35.900258),"tortilleria miguelena","cruizers 16","4706 Apex Hwy","4739 NCHWY 55"
"56",0.00510126141263262,c(-78.87469, 35.994329),c(-78.869998, 35.992327),"walgreens #16137","big apple food mart","1505 Holloway Street","1812 HOLLOWAY STREET"
"57",0.000580436086057881,c(-78.9453988, 36.0189211),c(-78.944945, 36.019283),"walgreens","dollar general store 7729","3427 Hillsborough Road","200 NORTH LASALLE STREET"
"58",0.00062266523912208,c(-78.91776, 36.02268),c(-78.918344, 36.022896),"one hop food mart","luckys mini mart and tobacco","2014 Guess Road","2021 GUESS ROAD"
"59",6.70820393462864e-06,c(-78.852386, 35.989228),c(-78.852389, 35.989234),"98 tobacco shop","98 tobacco shop","2627 Holloway Street","2627 HOLLOWAY STREET"
"60",0.000147719328448985,c(-78.930972, 36.056542),c(-78.931022, 36.056681),"harris teeter","harris teeter 254","1501 Horton Road","1501 HORTON ROAD"
"61",0.00306636282913926,c(-78.92199, 36.00914),c(-78.919199, 36.01041),"dollar general","hunky dory","718 9th Street","800 BROAD STREET"
"62",0.00225402218267622,c(-78.928017, 36.059644),c(-78.930263, 36.059454),"family dollar store","dollar general store 3067","3830 Guess Road","3823 GUESS RD STE U"
"63",0.000763216876127685,c(-78.88607, 35.97395),c(-78.885558, 35.973384),"family dollar #11975","town mart","1432 East Lawson Street","900 Bacon Street"
"64",0.000589430750801822,c(-78.8896819, 36.018255),c(-78.890135, 36.018632),"family fare","colonial village family fare 196","2110 Roxboro Road","2211 ROXBORO ROAD"
"65",0.00317341361943776,c(-78.88937, 36.01688),c(-78.890297, 36.019915),"don becerra","la movida night club","2202 Avondale Drive","2301 NORTH ROXBORO ROAD"
"66",0.00262382202139154,c(-78.885639, 35.994738),c(-78.885798, 35.992119),"e z mini mart","carolina food mart","1002 North Alston Avenue","702 NORTH ALSTON AVENUE"
